e,e_dot,e_int,stamp
-0.00796313931950099,0.017613437356332567,-0.0013008790640210834,1729888513499175832
-0.007789372430571984,0.005021872094479181,-0.0013169555921082234,1729888513559394656
-0.00857992882593317,-0.006312180609241833,-0.0013527559993777986,1729888513610365462
-0.008486552100270384,-0.0068012539855072775,-0.0012418541108160251,1729888513659318942
-0.007817628043873537,0.0076361759095330125,-0.001231818338131422,1729888513709369780
-0.006246080981453517,0.022324280442076405,-0.0011307400888479892,1729888513759605290
-0.006489195071287757,0.012579405429999649,-0.000924145383650706,1729888513799298293
-0.005313770029442555,0.008441066728804911,-0.0008192730586508942,1729888513850388107
-0.002674929769636236,0.0305207642927217,-0.000872076113339688,1729888513919768366
-0.0020852604959662457,0.026489181664112252,-0.0005482207284888682,1729888513959227315
-0.0014585000756910382,0.013589558459977256,-0.00028196994693488545,1729888514010453030
-0.0024091443507319177,-0.003244535819038623,-0.00030358634047848325,1729888514061223424
-0.003596801552976814,-0.021737243431504683,-0.0003685807273132942,1729888514109209231
-0.004267945438556797,-0.019206094740363458,-0.0004988515064310172,1729888514158333895
-0.004649368299179724,-0.01137240669030994,-0.0005701358845144921,1729888514200328067
-0.0041003038611129305,0.0008318969750497687,-0.000605881995990533,1729888514251420362
-0.002967321292294045,0.013858473008845549,-0.0006904499915230573,1729888514318182530
-0.0030907684752836673,0.007016575760158796,-0.000552567202974161,1729888514360210748
-0.0033974671021987923,-0.004477286898046908,-0.0004396709887539943,1729888514411180120
-0.0030180658651368653,0.0007824139303387041,-0.0004801068564613387,1729888514461218832
-0.0029268638894377474,0.00478309039528344,-0.00044846614062186274,1729888514507186625
-0.0033602347622530004,-0.0033332416005756745,-0.00044695280843861285,1729888514557284287
-0.0031064277312187194,-0.0014408545285780634,-0.000441937611477797,1729888514601280748
-0.002730896351172074,0.006618640547080495,-0.0004335667431769649,1729888514651562974
-0.0021232504963726306,0.009915367106983831,-0.000395781936369061,1729888514700716282
-0.0009980749170148684,0.015624520136315427,-0.0003181503712796131,1729888514760291043
-0.0011150764691594262,0.008275748678981416,-0.00023231695873642035,1729888514810392955
-0.0016391098676731275,-0.00642227245594411,-0.0001875487039073451,1729888514860256685
-0.003622723204410594,-0.025922342716069528,-0.00031199718636762554,1729888514908245049
-0.005129021493510244,-0.035578728727476236,-0.0005117381158520624,1729888514958754445
-0.005345602274583694,-0.01750969199191857,-0.0006497537142468321,1729888515000426011
-0.005464666119816997,-0.0037915923633580796,-0.0007298266752158367,1729888515050330395
-0.005361608614113056,-0.0001581991350301003,-0.0008062009301284917,1729888515100129999
-0.0048722805170298145,0.005097235979433023,-0.0008636124379421804,1729888515160354711
-0.004657749102159325,0.0062594422319129026,-0.0008119674086025433,1729888515209180180
-0.0029795652491935165,0.01895092957329052,-0.0006186521066167285,1729888515259263246
-0.003970170368492454,0.0064256698247621095,-0.0005689918436161067,1729888515307219043
-0.003328824641547712,-0.003912494105730867,-0.0005033264592248643,1729888515357200383
-0.0030731468541520535,0.009354315947526738,-0.0004848280973119287,1729888515400705430
-0.002505467983238141,0.007222664888233631,-0.0004888311573860858,1729888515466958236
-0.0021087460073574427,0.008204548863508198,-0.0004491357178243232,1729888515517555949
-0.0015135611480596722,0.010899734215151377,-0.000285666092079864,1729888515560194815
-0.0016930532799617204,0.005185411643299389,-0.0002462755319803205,1729888515610221683
-0.002698642115960048,-0.012061737302618248,-0.00029229527043853813,1729888515659189806
-0.0038593895414353874,-0.021431556769626964,-0.00041649575713809356,1729888515711177029
-0.005288353765590781,-0.026682139504905784,-0.0005806404410017473,1729888515757218039
-0.005281417831231927,-0.015437934276183668,-0.000643266317271395,1729888515800339059
-0.005931613688496817,-0.004499125677104694,-0.0009414861414206586,1729888515871327887
-0.00651212936264578,-0.014916037695329608,-0.0008780154189045608,1729888515899408946
-0.005937145958764045,-0.00562225765644371,-0.000818544219462094,1729888515960392743
-0.0046703787728334945,0.01769381060254903,-0.0009397172611600668,1729888516009191220
-0.0035079580818897504,0.02459602578997879,-0.0006975297953203879,1729888516059224487
-0.0020958217336941587,0.02547481459226493,-0.0005187539385733513,1729888516110173532
-0.001084448003732419,0.025087885752325054,-0.0003209707283401183,1729888516155205283
-0.0004898958786765384,0.017869050661292255,-0.00016480065390410515,1729888516199978972
