e,e_dot,e_int,stamp
-0.020430661906017722,0.050946487534502954,-0.0033577749689844396,1729888612752680328
-0.018522852459613492,0.03906196742567155,-0.003400081699268417,1729888612814733977
-0.018085879973123387,0.019743722008677776,-0.003195169820577005,1729888612864714117
-0.016247546390131262,0.02353824772708232,-0.0025882764098037413,1729888612912670407
-0.013611063411619995,0.04551118323189389,-0.0023491603295223793,1729888612962709129
-0.01229566763346579,0.042020828922830024,-0.0019389564725846799,1729888613004663794
-0.011859255799086199,0.020032178122299068,-0.0017381925360024897,1729888613054759845
-0.010122108770528104,0.021756927318135194,-0.0017140358834791284,1729888613104674433
-0.010087649719482616,0.01768959709000237,-0.0017582398933127731,1729888613164413564
-0.010123760203753385,-0.00018802554713389952,-0.0014808076408395023,1729888613202309744
-0.010356746639481607,-0.002344413853005408,-0.0015323753303124687,1729888613264673126
-0.008278906857035917,0.019759119045031633,-0.0015875380422797221,1729888613312710897
-0.006304759707844276,0.04212683901661268,-0.001199489420256523,1729888613360861470
-0.0057766754855550495,0.026643396219615707,-0.0009277044889645418,1729888613403839439
-0.003917330742736258,0.024377806405362405,-0.0007516481336656575,1729888613454824734
-0.00479288243514997,0.009347762912868096,-0.0007261468339120146,1729888613504088272
-0.004888053975445672,-0.009677884953269114,-0.0007437246948964575,1729888613564209903
-0.004438857253707518,0.0036543465400255028,-0.0007811096965096342,1729888613614728640
-0.004365888904972248,0.005182604488854708,-0.00068490115579043,1729888613664247972
-0.004396670848831441,0.0004343068761768481,-0.0006627474640766673,1729888613715134262
-0.004526497361478032,-0.0017119968748463556,-0.0006441140070053759,1729888613761187185
-0.004365652057485292,0.00046630395768938455,-0.000590858795666278,1729888613804059930
-0.0035724854881244994,0.00980813703895681,-0.0005787882419979959,1729888613854055983
-0.0023853728100879934,0.0169426807832276,-0.0005980962889210792,1729888613919930611
-0.002518436192646245,0.00713726818871748,-0.00042972236275128577,1729888613955449749
-0.003123427355809394,-0.008536795346352821,-0.0003247575802681454,1729888614000844532
-0.0032988112513514523,-0.008034226461126379,-0.0004889556342964708,1729888614064827712
-0.0035606946986246335,-0.003940816836117831,-0.0005736586405759252,1729888614115772402
-0.0030284483949492014,0.0033011010471262234,-0.00047595834356930865,1729888614161098024
-0.0021306890898609154,0.016252935533880238,-0.00038613035309102315,1729888614204336012
-0.001682286809360889,0.014880226525518058,-0.00031838434293472224,1729888614254173365
-0.001188918474300582,0.009382446271512686,-0.00025096544844866207,1729888614304684383
-0.0012601296826586506,0.004170214253779756,-0.00020741073047360567,1729888614354582037
-0.0020988699985902137,-0.007769091371255784,-0.000248626317394482,1729888614414020685
-0.0027317276301022098,-0.013398010953163023,-0.0003329462463935306,1729888614463910877
-0.004544055030586858,-0.024134587429837623,-0.00047258089038198755,1729888614514841542
-0.004298246397893557,-0.015070006352674881,-0.0005560245040907665,1729888614559992385
-0.0045696128733467845,-0.00036334345940305674,-0.0005976761026901551,1729888614603967823
-0.0034488540469226336,0.007995327235421495,-0.0005822585317961187,1729888614654540150
-0.0018847725455728437,0.02667801304962479,-0.0004986872096382901,1729888614704679788
-0.0014538575391567221,0.019214261075876593,-0.00037231902556145814,1729888614764247519
-0.001943949041671722,-0.0032585613348276978,-0.0002514717276906748,1729888614799887732
-0.0027089902655954567,-0.01277740670467051,-0.0003067257432247099,1729888614864701356
-0.002098698177853464,0.0002014121829948803,-0.00038758158476344206,1729888614914698627
-0.002405252537220459,0.0031559591508790305,-0.00036787245397615294,1729888614966704770
-0.002009686502950636,0.0022560366086666747,-0.000293169118891105,1729888615004715769
-0.0008739404361421954,0.01654896586533365,-0.0002328772331947349,1729888615054767982
0.0007038569175890075,0.02713262543134698,-0.00010901417004696442,1729888615104739249
-0.0018267502327482532,-0.005352095606767995,-0.00010965371327754707,1729888615164595576
-0.0033957882856818777,-0.040930784271965254,-0.00022479291411585335,1729888615204234285
-0.0035855069549706187,-0.021358148265270008,-0.00044126475748279293,1729888615264791313
-0.0027412399852524416,0.006892356713016716,-0.0005369838652366013,1729888615314696020
-0.002441589639016417,0.011445541777656661,-0.0004387153732858238,1729888615364859266
-0.0013973358627810128,0.01606376414866873,-0.0002964051862452022,1729888615404786324
-0.0012743628969174026,0.014308813511351005,-0.00022969775063262323,1729888615454702842
-0.0026852689680216812,-0.013106202589808599,-0.00026548617789678937,1729888615503904506
-0.0049126190301325146,-0.03286335705447477,-0.00048494786482766836,1729888615564020760
-0.005108209622980198,-0.02093991361094751,-0.0006392358427143558,1729888615604523178
-0.0051702923708596416,-0.00293033948879624,-0.0007647555465737347,1729888615664705234
-0.004873823433581226,0.0024498620389196276,-0.0008346337232395832,1729888615714688911
-0.006447785436580311,-0.012773120347433704,-0.0008244831809930399,1729888615764691799
-0.005011825131929548,0.0021903050878309543,-0.0007353986231897012,1729888615804737406
