e,e_dot,e_int,stamp,
-0.014413567955886109, 0.010136471571230802, -0.0031939601600468365, 1731708645585365358, 
-0.014541376372078307, 0.005118826962882868, -0.0030027331498886714, 1731708645685427795, 
-0.01427423642285186, 0.0004644384434474939, -0.0028823860616563257, 1731708645785395940, 
-0.01305546105633848, 0.004953051052466091, -0.0027915315973733347, 1731708645885436871, 
-0.013469503765072055, 0.002682442192599351, -0.0027198798797266536, 1731708645985391023, 
-0.013989171537591716, -0.00311236827084412, -0.002700786917173425, 1731708646085425356, 
-0.013714822323902087, -0.0008177285294334405, -0.002747345176968597, 1731708646185569196, 
-0.013603985717403955, 0.0012839527339592038, -0.0027552917661799957, 1731708646285528953, 
-0.013081809988604753, 0.0021100411176577794, -0.002691459694168368, 1731708646385427007, 
-0.01336724484117413, 0.0007891362540994132, -0.0026693342464183516, 1731708646485463905, 
-0.0134300234747875, -0.0011607116206091561, -0.002659063842997954, 1731708646585461508, 
-0.0136260116429745, -0.0008625560060012324, -0.002694938419836755, 1731708646685467845, 
-0.013071388627715397, 0.001195449490240345, -0.002675233023221902, 1731708646785466849, 
-0.01284347980354772, 0.002608439464755937, -0.002635284540265748, 1731708646885409111, 
-0.012273973079242051, 0.0026580518282444863, -0.0025469684414956375, 1731708646985548994, 
-0.012144305369851338, 0.002330581445654604, -0.0024858916217707313, 1731708647085551971, 
-0.012048383213032476, 0.0007519662206985819, -0.0024297762435248707, 1731708647185439206, 
-0.011669118146451218, 0.0015839574113337325, -0.0023909852876329886, 1731708647285568549, 
-0.010823230358160352, 0.004083842849573749, -0.002314074317144788, 1731708647386425769, 
-0.010273810475068146, 0.004651025571276908, -0.0021843915942731064, 1731708647485566809, 
-0.0101012328639003, 0.002406658314200172, -0.002070737360906006, 1731708647585546148, 
-0.009659933840010737, 0.0020462554501913623, -0.0020013642151188067, 1731708647685470162, 
-0.008674388535464761, 0.004756147761451797, -0.0018948340001250937, 1731708647785454395, 
-0.008164660897229226, 0.004984243142605038, -0.0017658043128335496, 1731708647885380207, 
-0.007873420096134787, 0.002669894797766581, -0.0016471612282412955, 1731708647985413516, 
-0.007398766392382683, 0.002552981682821809, -0.0015629046283419758, 1731708648085437570, 
-0.006671531921119023, 0.004006293916719213, -0.0014637899540863757, 1731708648185533194, 
-0.005368456846353897, 0.006767698486762619, -0.0012966960770863368, 1731708648285557804, 
-0.004513373167368329, 0.007193862512502314, -0.0011030057884295473, 1731708648385433213, 
-0.003697220523590339, 0.005570787742545195, -0.000905233603228246, 1731708648485549755, 
-0.0034708197084505343, 0.0034751781963926476, -0.0007749802349976638, 1731708648584462271, 
-0.004057964199577491, -0.0012024789199571728, -0.0007482936109791091, 1731708648685521245, 
-0.004319858858784276, -0.002830130501112471, -0.0007941748040593265, 1731708648785542214, 
-0.004320142292493667, -0.0008739269763872551, -0.0008466498890440116, 1731708648885549328, 
-0.004693723489659796, -0.0012462154362517335, -0.000888281188573733, 1731708648985399616, 
-0.004820547827583788, -0.0016680184503004014, -0.0009214647891582358, 1731708649085369461, 
-0.0045928248638307245, 0.00033632875276357055, -0.0009405384980456442, 1731708649185413528, 
-0.005191665023653869, -0.0012370573202336033, -0.0009741829083378404, 1731708649285474985, 
-0.005079076397158655, -0.001620838444426435, -0.0009914155869297895, 1731708649385516700, 
-0.004965958514492552, 0.0007523550305377213, -0.0010151512431063748, 1731708649485351188, 
-0.005078614556023542, 1.5394704503772043e-06, -0.0010075804837421966, 1731708649585385221, 
-0.005180925813042414, -0.0007165576618328728, -0.0010155195511879088, 1731708649685447006, 
-0.005408155893463551, -0.0010984711248000305, -0.0010452681156740906, 1731708649785529792, 
-0.005405353975644012, -0.0007480938753386587, -0.0010666962394702056, 1731708649885522131, 
-0.0054304235919544475, -7.422566163632165e-05, -0.0010828081887345848, 1731708649985507499, 
-0.005302462756171522, 0.00034297073157496527, -0.0010758199750494338, 1731708650085510473, 
-0.004479958273114093, 0.003168217729467848, -0.0010143636814294193, 1731708650185541820, 
-0.0044835441885680005, 0.002729728558678405, -0.0009507319746439405, 1731708650285440578, 
-0.004530317362313685, -0.0001678636306653066, -0.0008995359920806634, 1731708650385530260, 
-0.004492416227529716, -2.957346320571948e-05, -0.0009002324515759923, 1731708650485399249, 
-0.00453671494861041, -2.1325287655749037e-05, -0.0009033205315956465, 1731708650585388063, 
-0.004541438727343028, -0.0001634083327110384, -0.0009047453221831645, 1731708650685408238, 
-0.0047966761880089415, -0.0008665374646617726, -0.0009255538626668305, 1731708650785510271, 
-0.004863975839795476, -0.0010751237081748262, -0.000946776562068725, 1731708650885402009, 
-0.005110227089255126, -0.0010451696708206153, -0.0009841042476290388, 1731708650985384139, 
-0.0053268559309351815, -0.0015429336371323525, -0.001020008641778748, 1731708651085389863, 
-0.0061107753227993555, -0.003335160778480765, -0.0011030036150436102, 1731708651185350248, 
-0.007320280558671843, -0.006644748759122206, -0.0012513563350202291, 1731708651285522428, 
-0.007155634203202421, -0.0034828629346768856, -0.0013725236929510577, 1731708651385361569, 
-0.007285506862362734, 0.00011591232103036475, -0.001449972575574307, 1731708651485413676, 
-0.007263851286991141, -0.0003607236126290658, -0.0014481981411380922, 1731708651585527243, 
-0.007339618413291671, -0.0001803718364297898, -0.0014596596529789115, 1731708651685467751, 
-0.007670516626587354, -0.0013555511319873759, -0.001473385668950778, 1731708651783972054, 
-0.007868468100410198, -0.0017628322903950888, -0.0015253718223302798, 1731708651885485009, 
-0.008206378694933125, -0.001786206894485905, -0.0015941297921289682, 1731708651985375136, 
-0.008487854268396156, -0.0020646205599531933, -0.0016373591013612162, 1731708652085466163, 
-0.008857122023674169, -0.002169144429136812, -0.0017047531539029139, 1731708652185531232, 
-0.009012534690015617, -0.0017489347387315373, -0.0017532099854626723, 1731708652285015732, 
-0.008571222512260501, 0.0009529983713788918, -0.0017623655447545237, 1731708652385490416, 
-0.009052336267647565, -0.0001326719254398275, -0.001780257294717617, 1731708652485524560, 
-0.010033326783522423, -0.004873680904206405, -0.0018431823060946462, 1731708652585424241, 
-0.010869165220301458, -0.006056096508846309, -0.0019955603850989882, 1731708652685381528, 
-0.010505917001056186, -0.0015753007251125457, -0.0020945652569927414, 1731708652785488363, 
-0.010386183239163849, 0.0016099399371253635, -0.0021187513317306094, 1731708652885507496, 
-0.010653579605836239, -0.000492208682600174, -0.0021032657642811826, 1731708652985509327, 
-0.010833797237207232, -0.0014920466601446118, -0.002122950347488809, 1731708653085323614, 
-0.011054827701509229, -0.0013374936522433007, -0.0021683303590881893, 1731708653185403316, 
-0.010215104611302817, 0.002062308753014719, -0.002140934864588327, 1731708653285387740, 
-0.008397569364608781, 0.00885752778966816, -0.001977719482398278, 1731708653385391792, 
-0.007478510796291804, 0.009121979383370041, -0.0017405726888013906, 1731708653485521161, 
-0.007336516909842494, 0.003536841515887623, -0.0015480925275586496, 1731708653585467534, 
-0.006132767356380242, 0.0044858114663718736, -0.001396239207788809, 1731708653685480995, 
-0.0036949613219086075, 0.01213851862644629, -0.001144556671611922, 1731708653785515360, 
-0.00048354864140831566, 0.01883072904990642, -0.0006877251075592819, 1731708653885570204, 
0.0022119949749215273, 0.019689854322767115, -0.0001311156261648434, 1731708653985537674, 
0.0047115883934494285, 0.017317123449525813, 0.00042918108763072895, 1731708654085498204, 
0.0063726177400971196, 0.013868742550585308, 0.0008855519419293204, 1731708654185343303, 
0.006483196141221281, 0.005905359159239509, 0.001170353561943145, 1731708654285360462, 
0.006883074816025125, 0.001701523586426686, 0.001317040416869494, 1731708654385512690, 
0.005250536380202675, -0.004108865870062021, 0.0012420868379873393, 1731708654485516184, 
-0.00948806512553757, -0.054570466471875655, 0.00017637035710379588, 1731708654585513392, 
-0.021948366735869307, -0.0906630103869066, -0.0017451737906471693, 1731708654685452878, 
-0.033140123983294245, -0.07884019619252225, -0.004304339889952025, 1731708654785477907, 
-0.0582985080615912, -0.12116713775240633, -0.007560287342719574, 1731708654885483413, 
-0.08992761950393469, -0.18929165173546814, -0.012090370667219422, 1731708654985466117, 
-0.11209077721440508, -0.17930756384271293, -0.017343248469573195, 1731708655085354203, 
-0.11266527144002669, -0.07579217312030669, -0.020968199588282766, 1731708655185363999, 
-0.10847627632704615, 0.01204833629119643, -0.02221708940234262, 1731708655285368617, 
-0.10653598210093129, 0.020430964463651335, -0.021845792337432123, 1731708655385369709, 
-0.10361507696653227, 0.0162039978683796, -0.021252088001334834, 1731708655485465272, 
-0.13405407789310608, -0.09172698597391597, -0.02277716948152978, 1731708655583889432, 
-0.10659132371637625, -0.009920822499479934, -0.022773502539504054, 1731708655683921127, 
-0.07400691137623605, 0.2001572217229001, -0.020961743880601427, 1731708655783745683, 
