imu_ax,imu_ay,kf_ax,kf_ay,kf_vx,kf_w,kf_x,kf_y,stamp,
-0.06489488301336754,-0.030833863319501404,-0.06493923216855926,-4.441567540938259e-08,-0.001327690274882369,3.345334092570479e-05,-1.9994372072557531,-0.5000009941838945,11512000000,
-0.04877889900701306,0.0195775575590709,-0.05153183607517366,2.0899382721800847e-08,-0.0013187767483838026,-1.5847551715947084e-05,-1.9994381928634266,-0.5000009942000115,11607000000,
-0.08136459187278608,-0.004568201390859283,-0.07622921121356734,-2.5783620308001164e-09,-0.0011658810791728823,2.2115137442913978e-06,-1.9994522369404781,-0.5000009944468535,11692000000,
-0.03562276724566411,0.012676573935869307,-0.04256899531404953,1.679190921333684e-08,-0.0014091641334109698,-1.191621956250829e-05,-1.9994278979526847,-0.5000009941411664,11787000000,
-0.060634964758917845,0.030611293241188782,-0.057519998711649534,3.89427146770434e-08,-0.001028764840580866,-3.785385458454761e-05,-1.9994667905186017,-0.500000994569113,11871000000,
-0.06016074468428044,-0.017358020285624838,-0.05969135451121449,-9.38358560142672e-09,-0.0011385908096626643,8.241402900667044e-06,-1.9994548923992874,-0.5000009944389107,11967000000,
-0.08595304570463107,-0.03296583723771173,-0.0814283875057975,-4.160399269536256e-08,-0.0012818818454446322,3.245540362647998e-05,-1.9994406368672257,-0.5000009942810031,12062000000,
-0.04211388678222504,0.003055951579605011,-0.048837077726348425,-3.423756711318215e-09,-0.0015131174662692537,2.26271706436635e-06,-1.9994173927629302,-0.5000009940921013,12132000000,
-0.09079678657330814,-0.015815308089599186,-0.08358000435057826,-2.415779489368166e-08,-0.0011987148410240785,2.0153079003379422e-05,-1.9994485707220855,-0.5000009945058081,12221000000,
-0.05748333876230421,-0.017042532902649114,-0.06193720061737837,-3.231308766608279e-08,-0.0015904909776561713,2.031642311715657e-05,-1.9994090349948328,-0.5000009940774145,12307000000,
-0.06477441433516072,0.017741240679541272,-0.06426843231371675,2.6471993277412642e-08,-0.0013259533352248032,-1.9964498428539765e-05,-1.999434460857296,-0.5000009944476784,12422000000,
-0.06334442565983817,0.001974304558820714,-0.06348331877675475,7.524388820503776e-09,-0.0013308030300115507,-5.654021407238956e-06,-1.9994340434015463,-0.5000009944852163,12507000000,
-0.04848577643624761,-0.035056588154301536,-0.05104020265986135,-4.7981396233159754e-08,-0.0012747704258175962,3.76392448878676e-05,-1.9994390703357872,-0.5000009945445797,12599000000,
-0.045826491207548004,-0.016741503063845926,-0.04670543880797197,-2.581328540484286e-08,-0.001072091519217935,2.4077501726413274e-05,-1.9994589044758702,-0.5000009948039953,12689000000,
